School Name,Female Graduation Rate,Male Graduation Rate,Am In/AK Native Graduation Rate,Asian Graduation Rate,Black Graduation Rate,Hispanic Graduation Rate,Two or More Races Graduation Rate,Pacific Islander Graduation Rate,White Graduation Rate,Total Graduation Rate
State,84.54,78.4,64.73,93.29,70.46,80.01,82.18,79.84,85.59,81.39
Clark,84.4,78.77,64.84,93.29,72.38,80.18,82.84,83.01,85.91,81.5
Acceleration Academy,31.82,19.92,-,41.67,22.31,24.29,24.49,29.41,36.04,26.57
Advanced Technologies Academy,>95,>95,N/A,>95,>95,>95,>95,-,>95,>95
Arbor View High School,>95,93.85,-,>95,>95,94.98,>95,-,>95,>95
Basic High School,>95,90.75,-,>95,90.12,90.37,90.38,93.75,>95,92.91
Bonanza High School,85.78,80.29,-,>95,71.05,84.29,72,-,87.18,82.68
Boulder City High School,91.67,77.03,-,-,-,92.31,-,N/A,82.57,84.25
Burk Horizon Southwest HS,-,-,N/A,N/A,-,-,-,N/A,-,-
Canyon Springs High School and the Leadership and Law Preparatory Academy,91.87,81.95,-,-,90,85.42,93.75,-,89.47,86.96
Centennial High School,93.69,89.02,N/A,92.31,89.06,89.95,>95,-,91.59,91.05
Chaparral High School,83.59,72.15,-,82.35,68.97,81.98,76.19,60,52.38,77.31
Cheyenne High School,79.46,76.81,-,>95,76.19,78.3,91.67,-,73.17,78.03
Cimarron-Memorial High School,92.44,89.83,-,91.3,88.39,93.31,85.37,-,87.36,91.02
Clark Adult Program,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5
Clark County Detention Center,N/A,<5,N/A,-,<5,<5,-,-,-,<5
College of Southern Nevada High School East,>95,>95,N/A,-,-,>95,-,N/A,-,>95
College of Southern Nevada High School South,>95,>95,-,-,-,>95,-,N/A,>95,>95
College of Southern Nevada High School West,>95,>95,N/A,>95,-,>95,>95,N/A,>95,>95
Coronado High School,90.93,92.08,-,94.55,94.87,88.89,89.61,93.33,91.69,91.49
Cowan Behavior Jr/Sr High School,-,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,-
Cowan Sunset Southeast High School,-,50,N/A,-,-,-,N/A,N/A,-,46.67
Del Sol Academy of the Performing Arts,>95,>95,-,>95,91.3,>95,90,-,>95,>95
Delta Academy,83.57,74.07,N/A,-,71.7,76.92,82.14,-,84.62,78.99
Desert Oasis High School,89.26,88.81,-,94.53,88.42,88.99,91.46,93.1,84.93,89.02
Desert Rose High School,52.86,47.83,N/A,-,47.27,52.22,30,-,-,50
Desert Willow Secondary,-,-,N/A,N/A,-,-,N/A,N/A,-,-
Durango High School,90,79.32,-,90.91,76.4,81.9,90.91,81.25,87.78,83.91
East Career and Technical Academy,>95,>95,-,>95,>95,>95,-,-,>95,>95
Ed W. Clark High School,85.39,83.38,-,>95,83.51,78.45,90.48,90,87.93,84.33
Eldorado High School,92.27,87.96,N/A,>95,84.78,90.98,76.92,-,82.76,89.81
Explore Knowledge Academy Charter Secondary,-,91.67,N/A,-,-,-,-,N/A,-,>95
Foothill High School,94.92,93.46,-,>95,94.29,93.88,94.87,-,93.92,94
Global Community High School at Morris Hall,60,46.67,N/A,-,N/A,50,N/A,N/A,N/A,50
Green Valley High School,>95,94.1,-,>95,90.57,>95,92.42,>95,94.94,>95
Helen J. Stewart School,-,<5,N/A,N/A,-,-,-,N/A,-,<5
Indian Springs High School,90,>95,N/A,-,N/A,-,-,N/A,>95,>95
Innovations International Charter School of NV,-,>95,N/A,N/A,N/A,>95,-,N/A,-,>95
Institute for Integrated Studies at Desert Pines High School,91.74,79.71,-,-,81.72,86.94,83.33,-,80,85.61
John F. Miller School,-,-,N/A,N/A,-,-,N/A,N/A,-,-
Juvenile Detention 3-12,<5,<5,N/A,-,<5,<5,-,-,<5,<5
Las Vegas Academy of the Arts,>95,>95,-,>95,>95,>95,>95,-,>95,>95
Las Vegas High School,94.5,88.14,-,91.89,89.09,90.55,>95,>95,91.67,91.05
Laughlin Jr/Sr High School,84.38,81.82,N/A,-,-,>95,-,N/A,65,83.33
Legacy High School,86.51,80.79,-,93.33,82.65,83.67,80.95,83.33,82.35,83.36
Liberty High School,93.99,92.21,-,>95,87.63,93.72,92.05,94.55,93.33,93.05
Miley Achievement Center Sec,-,-,N/A,N/A,-,-,N/A,N/A,-,27.27
Mission High School,-,-,N/A,N/A,N/A,-,N/A,N/A,-,-
Moapa Valley Innovative High School,>95,>95,-,N/A,-,>95,-,N/A,>95,>95
Mojave High School,91.75,82.43,N/A,92.31,82.82,88.44,92,-,82.05,86.92
Morris Sunset East High School,83.87,86.11,N/A,-,>95,81.08,-,-,80,85.07
Nevada Learning Academy at CCSD,68.15,54.27,-,62.5,57.65,65.75,56.1,70,61.79,62.13
Northwest Career and Technical Academy,>95,>95,-,>95,>95,>95,>95,-,>95,>95
Odyssey Charter High School,94.14,91.85,-,91.3,>95,90.91,95,-,94.29,93.2
Palo Verde High School,>95,>95,-,>95,>95,91.98,>95,93.33,>95,>95
Peterson Behavior Jr./Sr. High School,-,12.5,N/A,N/A,15.38,-,-,N/A,-,22.73
Rancho High School,>95,91.5,-,>95,88.06,93.7,90.91,-,>95,93.71
Sandy Valley Jr/Sr High School,>95,-,N/A,N/A,-,-,-,-,-,94.74
Shadow Ridge High School,94.48,91.96,-,>95,90.32,89.95,>95,87.5,94.95,93.17
Sierra Vista High School,>95,92.29,-,>95,90.91,92.67,>95,>95,93.62,94.05
Silverado College Preparatory and Career/Technical High School,94.47,91.81,N/A,94,93.33,93.14,>95,80,93.02,93.07
South Continuation Jr./Sr. High School,-,9.09,N/A,-,-,-,N/A,N/A,-,7.14
Southeast Career and Technical Academy,>95,>95,N/A,>95,>95,>95,>95,-,>95,>95
Southwest Career and Technical Academy,>95,>95,N/A,>95,>95,>95,>95,-,>95,>95
Spring Mountain Jr/Sr High School,N/A,<5,N/A,N/A,-,-,-,N/A,-,<5
Spring Valley High School,92.88,94.14,-,>95,93.91,94.21,91.67,90.91,91.75,93.52
Summit View J/SHS,N/A,<5,-,N/A,-,-,-,-,-,<5
Sunrise Mountain High School,87.95,82.82,-,-,80,86.57,71.43,-,86.67,85.05
Valley HS International Baccalaureate and Academy of Hospitality and Tourism,85.82,78.15,-,78.26,72.63,83.73,83.33,-,85.42,81.85
Variety JR/SR HS,-,-,N/A,N/A,N/A,-,-,N/A,-,<5
Veterans Tribute Career and Technical Academy,>95,>95,-,90,>95,>95,91.67,-,93.55,>95
Virgin Valley High School,85.58,74.77,-,-,-,82.11,-,N/A,84,80.09
West Career and Technical Academy,>95,92.81,N/A,>95,95,>95,91.3,-,94.56,>95
West Preparatory Academy at Charles I. West Hall,93.94,93.02,N/A,-,90,>95,N/A,N/A,-,93.42
Western High School,85.11,81.2,N/A,81.82,79.75,85.49,68.42,-,62.86,83.03
