School Name,Group,Graduating Class of,Completion Indicators - Graduates # Adult Diploma, # Advanced Diploma, # Alternative Diploma, # College and Career Ready Diploma, # Standard Diploma,Completion Indicators - Non- Graduates # Adjusted Diploma
State,2022-2023,289,4822,79,8199,18112,130
Clark,2022-2023,152,2606,52,5960,13057,34
Acceleration Academy,2022-2023,-,-,-,-,157,-
Advanced Technologies Academy,2022-2023,-,-,-,211,52,-
Arbor View High School,2022-2023,-,128,-,193,389,-
Basic High School,2022-2023,-,29,-,120,322,-
Bonanza High School,2022-2023,-,56,-,32,313,-
Boulder City High School,2022-2023,-,41,-,-,73,-
Burk Horizon Southwest HS,2022-2023,-,-,-,-,-,-
Canyon Springs High School and the Leadership and Law Preparatory Academy,2022-2023,-,92,-,33,362,-
Centennial High School,2022-2023,-,131,-,70,389,-
Chaparral High School,2022-2023,-,62,-,25,354,-
Cheyenne High School,2022-2023,-,35,-,14,330,-
Cimarron- Memorial High School,2022-2023,-,-,-,215,361,-
Clark Adult Program,2022-2023,152,-,-,-,-,-
Clark County Detention Center,2022-2023,-,-,-,-,-,-
College of Southern Nevada High School East,2022-2023,-,-,-,52,-,-
College of Southern Nevada High School South,2022-2023,-,17,-,37,-,-
College of Southern Nevada High School West,2022-2023,-,23,-,58,11,-
Coronado High School,2022-2023,-,235,-,242,286,-
Cowan Behavior Jr/Sr High School,2022-2023,-,-,-,-,-,-
Cowan Sunset Southeast High School,2022-2023,-,-,-,-,-,-
Del Sol Academy of the Performing Arts,2022-2023,-,-,-,190,296,-
Delta Academy,2022-2023,-,29,-,-,185,-
Desert Oasis High School,2022-2023,-,81,-,173,435,-
Desert Rose High School,2022-2023,-,-,-,-,80,-
Desert Willow Secondary,2022-2023,-,-,-,-,-,-
Durango High School,2022-2023,-,-,-,191,237,-
East Career and Technical Academy,2022-2023,-,29,-,248,192,-
Ed W. Clark High School,2022-2023,-,181,-,55,380,-
Eldorado High School,2022-2023,-,44,-,60,322,-
Explore Knowledge Academy Charter Secondary,2022-2023,-,-,-,-,11,-
Foothill High School,2022-2023,-,30,-,172,283,-
Global Community High School at Morris Hall,2022-2023,-,-,-,-,17,-
Green Valley High School,2022-2023,-,93,-,170,373,-
Helen J. Stewart School,2022-2023,-,-,-,-,-,-
Indian Springs High School,2022-2023,-,-,-,-,11,-
Innovations International Charter School of NV,2022-2023,-,11,-,-,-,-
Institute for Integrated Studies at Desert Pines High School,2022-2023,-,-,-,158,408,-
John F. Miller School,2022-2023,-,-,-,-,-,-
Juvenile Detention 3- 12,2022-2023,-,-,-,-,-,-
Las Vegas Academy of the Arts,2022-2023,-,67,-,183,127,-
Las Vegas High School,2022-2023,-,79,-,69,502,-
Laughlin Jr/Sr High School,2022-2023,-,10,-,11,24,-
Legacy High School,2022-2023,-,58,-,113,364,-
Liberty High School,2022-2023,-,172,-,106,442,-
Miley Achievement Center Sec,2022-2023,-,-,-,-,-,-
Mission High School,2022-2023,-,-,-,-,-,-
Moapa Valley Innovative High School,2022-2023,-,-,-,42,74,-
Mojave High School,2022-2023,-,-,-,135,381,-
Morris Sunset East High School,2022-2023,-,-,-,-,57,-
Nevada Learning Academy at CCSD,2022-2023,-,42,-,-,240,-
Northwest Career and Technical Academy,2022-2023,-,-,-,283,121,-
Odyssey Charter High School,2022-2023,-,61,-,80,270,-
Palo Verde High School,2022-2023,-,182,-,181,315,-
Peterson Behavior Jr./Sr. High School,2022-2023,-,-,-,-,-,-
Rancho High School,2022-2023,-,-,-,258,390,-
Sandy Valley Jr/Sr High School,2022-2023,-,-,-,-,10,-
Shadow Ridge High School,2022-2023,-,124,-,202,379,-
Sierra Vista High School,2022-2023,-,14,-,198,396,-
Silverado College Preparatory and Career/Technical High School,2022-2023,-,78,-,68,349,-
South Continuation Jr./Sr. High School,2022-2023,-,-,-,-,-,-
Southeast Career and Technical Academy,2022-2023,-,25,-,242,180,-
Southwest Career and Technical Academy,2022-2023,-,-,-,260,93,-
Spring Mountain Jr/Sr High School,2022-2023,-,-,-,-,-,-
Spring Valley High School,2022-2023,-,72,-,135,298,-
Summit View J/SHS,2022-2023,-,-,-,-,-,-
Sunrise Mountain High School,2022-2023,-,13,-,70,353,-
Valley HS International Baccalaureate and Academy of Hospitality and Tourism,2022-2023,-,92,-,21,365,-
Variety JR/SR HS,2022-2023,-,-,-,-,-,-
Veterans Tribute Career and Technical Academy,2022-2023,-,13,-,135,45,-
Virgin Valley High School,2022-2023,-,59,-,13,97,-
West Career and Technical Academy,2022-2023,-,-,-,279,46,-
West Preparatory Academy at Charles I. West Hall,2022-2023,-,10,-,27,34,-
Western High School,2022-2023,-,16,-,93,435,-
