"Group","Graduating Classof","Completion Indicators - Graduates","","","","","CompletionIndicators - Non-Graduates"
"","","# Adult Diploma","# AdvancedDiploma","# AlternativeDiploma","# College andCareer ReadyDiploma","# StandardDiploma","# AdjustedDiploma"
"Durango HighSchool","2022-2023","-","-","-","191","237","-"
"East Careerand TechnicalAcademy","2022-2023","-","29","-","248","192","-"
"Ed W. ClarkHigh School","2022-2023","-","181","-","55","380","-"
"EldoradoHigh School","2022-2023","-","44","-","60","322","-"
"ExploreKnowledgeAcademyCharterSecondary","2022-2023","-","-","-","-","11","-"
"Foothill HighSchool","2022-2023","-","30","-","172","283","-"
"GlobalCommunityHigh Schoolat Morris Hall","2022-2023","-","-","-","-","17","-"
"Green ValleyHigh School","2022-2023","-","93","-","170","373","-"
"Helen J.StewartSchool","2022-2023","-","-","-","-","-","-"
"IndianSprings HighSchool","2022-2023","-","-","-","-","11","-"
"InnovationsInternationalCharterSchool of NV","2022-2023","-","11","-","-","-","-"
"Institute forIntegratedStudies atDesert PinesHigh School","2022-2023","-","-","-","158","408","-"
"John F. MillerSchool","2022-2023","-","-","-","-","-","-"
"JuvenileDetention 3-12","2022-2023","-","-","-","-","-","-"
"Las VegasAcademy ofthe Arts","2022-2023","-","67","-","183","127","-"
"Las VegasHigh School","2022-2023","-","79","-","69","502","-"
"Laughlin Jr/SrHigh School","2022-2023","-","10","-","11","24","-"
"Legacy HighSchool","2022-2023","-","58","-","113","364","-"
"Liberty HighSchool","2022-2023","-","172","-","106","442","-"
"MileyAchievementCenter Sec","2022-2023","-","-","-","-","-","-"
